input_name,normalized_name,medical_store_id
"APEX MEDICAL AGENCY, RAJKOT, RAJKOT",apex medical agency rajkot rajkot,e590b599-1337-45c7-acf3-3ef22f5dfb19
APNA BAZAR MEDICINE ANANDNAGAR,apna bazar medicine anandnagar,118deb2d-f425-40bc-88c4-c94cb649f416
"APNA BAZAR MEDICINE [CT] KO, RAJKOT, RAJKOT",apna bazar medicine ct ko rajkot rajkot,93cd29b1-1514-46b4-8006-a41ed5905c3a
"APNA BAZAR MEDICINE, RAJKOT, RAJKOT",apna bazar medicine rajkot rajkot,1065db68-0cbe-4a09-bee6-15fb67f0a903
"APOLLO PHARMACY (CT)H.MADHI, RAJKOT, RAJKOT",apollo pharmacy ct h madhi rajkot rajkot,41d65c3b-44ba-4180-9c31-46062c99cf61
"APOLLO PHARMACY (CT)N.M., RAJKOT, RAJKOT",apollo pharmacy ct n m rajkot rajkot,6d742624-3b7a-4ccf-9e45-219991ca7e33
"APOLLO PHARMACY (CT)S.V., RAJKOT, RAJKOT",apollo pharmacy ct s v rajkot rajkot,94ea73f0-7566-4a5a-9f39-ee40638f6bed
"APOLLO PHARMACY N.M., RAJKOT, RAJKOT",apollo pharmacy n m rajkot rajkot,6d742624-3b7a-4ccf-9e45-219991ca7e33
"APOLLO PHARMACY- HANUMADHI CHOK, RAJKOT, RAJKOT",apollo pharmacy hanumadhi chok rajkot rajkot,4d06a4ad-c329-404b-837b-977adb00904a
"APOLLO PHARMACY- NANA MAVA, RAJKOT, RAJKOT",apollo pharmacy nana mava rajkot rajkot,c63cfa60-79eb-4d34-9257-5f8bf74fde34
"APTUS PHARMA LIMITED, AHMEDABAD, AHMEDABAD",aptus pharma limited ahmedabad ahmedabad,5edb626f-9120-4f85-92f3-1aa8d33655ef
"APTUS PHARMA PRIVATE LIMITED, AHMEDABAD, AHMEDABA",aptus pharma private limited ahmedabad ahmedaba,5edb626f-9120-4f85-92f3-1aa8d33655ef
"ARYAN MED STORE [CT] S.K, RAJKOT, RAJKOT",aryan med store ct s k rajkot rajkot,c0f0ff42-748e-4407-9f96-d39cac3a7dc6
ARYAN MEDICAL STORES,aryan medical stores,d72bd90d-4ab1-4019-9506-938bc5fe4645
"ASHIRVAD MEDICAL CENTRE 5, RAJKOT, RAJKOT",ashirvad medical centre 5 rajkot rajkot,01bf6c3e-189b-478f-bd9c-a6657c606c15
"ASHIRWAD M STORE [CT] MAVDI, RAJKOT, RAJKOT",ashirwad m store ct mavdi rajkot rajkot,ea3aae5a-8799-4ec7-95d7-fd795ec10af8
"ASHIRWAD M STORE [DT] MAVDI, RAJKOT, RAJKOT",ashirwad m store dt mavdi rajkot rajkot,b318a2c5-5bc8-4454-84ef-54ee9ebb6685
"ASHIRWAD MEDICAL STORE 1, RAJKOT, RAJKOT",ashirwad medical store 1 rajkot rajkot,607ed419-3cf5-4ff8-affb-bef46a2184da
"ASHWAJIT MEDI STORE [CT], RAJKOT, RAJKOT",ashwajit medi store ct rajkot rajkot,72484749-197e-439b-bcdb-529f3d89eb77
"ASTHA MEDICAL [CT] KO.RO, RAJKOT, RAJKOT",astha medical ct ko ro rajkot rajkot,bf5f1da5-c2e2-4210-906a-9c094175d465
"ASTHA MEDICINES [CT]MAVDI, RAJKOT, RAJKOT",astha medicines ct mavdi rajkot rajkot,5ecf1ff4-fb69-4794-965c-3b75962117d3
"ATREY MEDICAL, RAJKOT, RAJKOT",atrey medical rajkot rajkot,b530fb1d-6187-4aa3-a4c2-4a4e201fe578
"ATREY MEDICINES [CT] K.R, RAJKOT, RAJKOT",atrey medicines ct k r rajkot rajkot,d63937d9-96bf-4b5d-8f79-48df6d3edc12
"AUM MED & GEN STORE [CT], SHAPAR, SHAPAR",aum med gen store ct shapar shapar,3fea3b6b-8f62-47b7-a003-66e455fbd9da
"AUM MEDICAL GURUPRASAD 1, RAJKOT, RAJKOT",aum medical guruprasad 1 rajkot rajkot,a23611aa-ce38-4831-8711-3f8a6d31e242
"AVADH MED STORE [CT] KO.RD., RAJKOT, RAJKOT",avadh med store ct ko rd rajkot rajkot,7ab6295b-1acc-4e03-8035-7b7c78c2cbe1
AVADH MEDICAL STORE (SAHKAR RD,avadh medical store sahkar rd,4df08e2b-38cf-4ece-9f3d-cb3893cf5095
"AVADH MEDICAL STORE, RAJKOT, RAJKOT",avadh medical store rajkot rajkot,76e58b8e-a850-4d35-9363-d62a4bb840ce
"AVADH MEDICINE (CT) KO, RAJKOT, RAJKOT",avadh medicine ct ko rajkot rajkot,a53f79b0-b95d-4ac2-bbe0-84e13c70cd5c
"AVADH MEDICINE -KOTHARIYA RING, RAJKOT, RAJKOT",avadh medicine kothariya ring rajkot rajkot,8aac0e89-e54e-492b-ab71-e68a5ae3c8b6
"AVADH MEDICINE, RAJKOT, RAJKOT",avadh medicine rajkot rajkot,b4b72374-eb0c-4327-b5bb-5f6bdfe441eb
"AVADH PHARMACY (KOTHARIYA) 2, RAJKOT, RAJKOT",avadh pharmacy kothariya 2 rajkot rajkot,91461d3d-47e4-4e40-9e2d-38feaa6b3b48
"AVADH PHARMACY [CT] KOTHARIYA, RAJKOT, RAJKOT",avadh pharmacy ct kothariya rajkot rajkot,c5463f0f-ad9b-4932-ba2d-06132ec9e814
"AVADH PHARMACY(KOTHARIYA GAM), RAJKOT, RAJKOT",avadh pharmacy kothariya gam rajkot rajkot,69952a53-ffae-4c80-ae38-9ea3628a9876
"AVKAR MED STORE [CT] S.K., RAJKOT, RAJKOT",avkar med store ct s k rajkot rajkot,53d21779-b1e5-4457-98db-041fcac788c5
